,Finegrained Tag Frequencies
NN,0.21359251183899738
ART,0.10251046512259698
APPR,0.08496445390029084
ADV,0.07865782522604897
NE,0.06394261705296869
ADJA,0.06062047911749113
VVFIN,0.05095212628470877
VAFIN,0.03537300700831388
PPER,0.03339214345426278
ADJD,0.033271832384169545
KON,0.02728189349443115
VVINF,0.023919393135438442
VVPP,0.023266608555126144
CARD,0.016063468358576666
APPRART,0.013987908349355404
KOUS,0.013304851951406746
VMFIN,0.012749868628073462
PPOSAT,0.012184018498409176
PIAT,0.010806262695728647
PRF,0.010083620074717055
PIS,0.008944934011318555
PROAV,0.00798787885373822
PTKNEG,0.007616078837127531
PTKZU,0.007205468797906122
PRELS,0.006914393628325728
PTKVZ,0.006166912592843276
PDS,0.004980102101407484
VAINF,0.004623049893388868
PDAT,0.0036690995376173906
KOKOM,0.003305837725981059
PWAV,0.0032926423182934148
FM,0.0021826756716268464
KOUI,0.0019925065608343224
VVIZU,0.0018240710627038012
PWS,0.0018225186617993724
XY,0.0012100965050022238
VMINF,0.0011503290701817162
VAPP,0.0008429536911048204
PTKA,0.0007777528531188122
TRUNC,0.0006481273775990102
APPO,0.0005022016925827061
PTKANT,0.0003958622306293356
PWAT,0.00025459374832631775
APZR,0.00021190272345452668
PRELAT,0.00019560251395802462
ITJ,0.00013971608139858903
VVIMP,0.00011410146647551437
$(,7.063424115150889e-05
$.,1.319540768764452e-05
VMPP,1.0090605878786984e-05
