,Lemma Bigrams
Foto rechts,0.0025234904041534457
CC BY-SA,0.002453271540733524
BY-SA 3.0,0.001715973474824343
Angela Merkel,0.0015887017848757346
Donald Trump,0.0012068867150299089
Jürgen Marschal,0.0008294603241478282
> >,0.0006626905235255136
FC Bayer,0.0006495244866342782
Million Euro,0.0006275810918155526
CC BY,0.000605637696996827
Martin Schulz,0.0005485848704681403
Foto links,0.0005441961915043953
Bundeskanzlerin Angela,0.000500309401866944
de Maizière,0.0004915320439394538
Bayer München,0.00047836600704821843
Milliarde Euro,0.00046958864912072815
Sigmar Gabriel,0.0004564226122294928
gestern Abend,0.00040375846466455135
BY-SA 2.0,0.00040375846466455135
Foto unten,0.00038620374880957083
Vereinigte Staat,0.0003730377119183355
Weiße Haus,0.0003642603539908452
Sebastian Huber,0.0003598716750271001
Kim Jong-un,0.0003598716750271001
Werner Faymann,0.00035548299606335496
Barack Obama,0.00035548299606335496
Million Mensch,0.00034670563813586473
Wiener Linie,0.0003423169591721196
New York,0.0003379282802083745
Artikel erscheinen,0.0003335396012446294
Angabe zufolge,0.0003291509222808842
Wladimir Putin,0.0003247622433171391
© dpa,0.000320373564353394
BY 2.0,0.00031598488538964886
nächst Woche,0.00031159620642590374
Horst Seehofer,0.00031159620642590374
+ +,0.0003028188484984135
Steffen Seibert,0.0002984301695346684
jung Mann,0.0002896528116071781
junge Frau,0.00026770941678845253
letzt Woche,0.0002633207378247074
Norbert Hofer,0.0002633207378247074
Lena Lena,0.000250154700933472
picture alliance,0.000250154700933472
Thoma de,0.000250154700933472
BY 3.0,0.0002457660219697269
Andrea Nahles,0.00024137734300598178
Frank-Walter Steinmeier,0.00024137734300598178
Weiß Haus,0.00024137734300598178
türkisch Präsident,0.00023698866404223666
