,Lemma Frequencies
Foto,0.005238771014346173
erklären,0.003440363347882841
Mensch,0.0028872502694450852
Deutschland,0.0024084123758261137
lassen,0.0022883078216510582
stehen,0.002202970375263519
sehen,0.0021982294060197667
Frau,0.002185586821369761
Mann,0.0021650426213135014
einfach,0.0021192132519572303
zeigen,0.0019185122206383874
deutsch,0.001803148635707084
Land,0.0017715421740820694
Woche,0.0016451163275820108
Kind,0.001608768896713244
finden,0.0015898050197382353
sogar,0.0015250117734069554
Trump,0.0013812023730131388
alt,0.0013669794652818822
bleiben,0.0013495959113881241
Merkel,0.0013495959113881241
Polizei,0.001344854942144372
Euro,0.001332212357494366
mal,0.0013085075112756052
geben,0.001299025572788101
letzt,0.0012658387880818355
nächst,0.0012658387880818355
stellen,0.0012579371726755817
mehrer,0.0012547765265130803
halten,0.0012168487725630628
Welt,0.0011899832801818004
Prozent,0.0011899832801818004
Partei,0.0011773406955317945
können,0.001174180049369293
rechts,0.001152055526231783
CC,0.0011346719723380248
nehmen,0.0011251900338505203
laut,0.001122029387688019
Präsident,0.0011109671261192637
bringen,0.001109386803038013
Grund,0.0010793606644942493
2014,0.0010793606644942493
berichten,0.0010619771106004912
Fall,0.0010540754951942374
Leben,0.0010461738797879839
Sprecher,0.001039852587462981
Stunde,0.001033531295137978
gestern,0.0010240493566504737
Million,0.0010208887104879722
Österreich,0.0009987641873504618
