,Token Bigrams
Foto rechts,0.0025059356882984655
CC BY-SA,0.002453271540733524
BY-SA 3.0,0.001715973474824343
Angela Merkel,0.001531648958347048
Donald Trump,0.0012068867150299089
Jürgen Marschal,0.0008294603241478282
> >,0.0006626905235255136
FC Bayern,0.0006495244866342782
CC BY,0.000605637696996827
Millionen Euro,0.000570528265286866
Martin Schulz,0.0005485848704681403
Foto links,0.0005354188335769051
Bundeskanzlerin Angela,0.000500309401866944
de Maizière,0.0004915320439394538
Bayern München,0.0004739773280844733
Sigmar Gabriel,0.0004564226122294928
Milliarden Euro,0.00042570185948327693
gestern Abend,0.00040375846466455135
BY-SA 2.0,0.00040375846466455135
Foto unten,0.0003774263908820806
Vereinigten Staaten,0.0003730377119183355
Kim Jong-un,0.0003598716750271001
Sebastian Huber,0.0003598716750271001
Werner Faymann,0.00035548299606335496
Barack Obama,0.00035548299606335496
Wiener Linien,0.0003423169591721196
New York,0.0003335396012446294
Artikel erschien,0.0003291509222808842
Angaben zufolge,0.0003291509222808842
Wladimir Putin,0.0003247622433171391
© dpa,0.000320373564353394
BY 2.0,0.00031598488538964886
Millionen Menschen,0.00030720752746215863
Horst Seehofer,0.0003028188484984135
+ +,0.0003028188484984135
Steffen Seibert,0.0002984301695346684
Norbert Hofer,0.0002633207378247074
picture alliance,0.000250154700933472
Lena Lena,0.000250154700933472
Thomas de,0.000250154700933472
BY 3.0,0.0002457660219697269
Andrea Nahles,0.00024137734300598178
Weiße Haus,0.00024137734300598178
Frank-Walter Steinmeier,0.00024137734300598178
junge Frau,0.00023698866404223666
März 2014,0.00023259998507849152
Oktober 2014,0.00023259998507849152
Christian Kern,0.0002282113061147464
Februar 2014,0.0002282113061147464
Januar 2014,0.0002282113061147464
