,Token Frequencies
Foto,0.004655631797364653
Menschen,0.0025854085609261957
Deutschland,0.002127114867363484
einfach,0.0018505583281446059
erklärt,0.001755738943269562
sogar,0.0015250117734069554
lassen,0.0014459956193444187
Mann,0.0014128088346381535
erklärte,0.0013938449576631447
Trump,0.0013812023730131388
Polizei,0.001344854942144372
Euro,0.0013227304190068618
mal,0.0013085075112756052
Frau,0.0012816420188943428
Merkel,0.0012294913572130687
Prozent,0.0011884029571005497
Welt,0.0011725997262880424
rechts,0.001152055526231783
CC,0.0011346719723380248
2014,0.0010793606644942493
letzten,0.0010777803414129985
Land,0.0010477542028692346
Sprecher,0.0010351116182192286
gestern,0.0010240493566504737
steht,0.0009971838642692111
derzeit,0.0009592561103191937
Shutterstock,0.000957675787237943
Postillon,0.0009560954641566922
Kinder,0.0009545151410754414
Leben,0.0009355512641004327
Millionen,0.000927649648694179
deutschen,0.0009197480332879253
Regierung,0.0009086857717191702
Frauen,0.0009039448024754181
laut,0.0009023644793941674
Partei,0.0008913022178254122
USA,0.0008897218947441615
BY-SA,0.0008834006024191586
sofort,0.0008739186639316542
sehen,0.0008675973716066513
zufolge,0.0008644367254441498
Wochen,0.0008581154331191469
2016,0.0008549547869566455
Österreich,0.0008312499407378845
völlig,0.0008249286484128815
nächsten,0.0007917418637066162
Woche,0.000787000894462864
SPD,0.0007838402483003625
zeigt,0.0007822599252191118
Präsident,0.0007806796021378611
