,Lemma Bigrams
Donald Trump,0.0024984384759525295
Angela Merkel,0.0023422860712054966
FC Bayer,0.0020299812617114305
Martin Schulz,0.0011711430356027483
Bayer München,0.0010930668332292317
Kim Jong-un,0.0010930668332292317
Sigmar Gabriel,0.0010930668332292317
Chefredaktion informieren,0.0010149906308557152
Bote Magazin,0.0010149906308557152
Blauer Bote,0.0010149906308557152
+ +,0.0009369144284821987
Million Euro,0.0007807620237351655
Jogi Löw,0.0007807620237351655
Chuck Norris,0.0007026858213616489
Wiener Linie,0.0007026858213616489
Team Stronach,0.0007026858213616489
Helmut Schmidt,0.0006246096189881324
Frauke Petry,0.0006246096189881324
Weiße Haus,0.0005465334166146158
Uli Hoeneß,0.0005465334166146158
Kim Jong,0.0005465334166146158
Lothar Matthäus,0.0005465334166146158
de Maizière,0.0005465334166146158
Christian Wulff,0.0005465334166146158
Norbert Hofer,0.0005465334166146158
Flughafen BER,0.00046845721424109934
Bernd Lucke,0.00046845721424109934
Peter Pilz,0.00046845721424109934
Richard Lugner,0.00046845721424109934
Philipp Lahm,0.00046845721424109934
Rainer Pariasek,0.00046845721424109934
Erwin Pröll,0.00046845721424109934
Polizei nehmen,0.00046845721424109934
Andrea Gabalier,0.00046845721424109934
Stuttgart 21,0.00039038101186758274
St. Pölten,0.00039038101186758274
Werder Bremen,0.00039038101186758274
Sepp Blatter,0.00039038101186758274
Real Madrid,0.00039038101186758274
verhängen Einreiseverbot,0.00039038101186758274
Aussterben bedrohen,0.00039038101186758274
IS bekennen,0.00039038101186758274
Peer Steinbrück,0.00039038101186758274
EU beschließen,0.00039038101186758274
Jürgen Klopp,0.00039038101186758274
Weißes Haus,0.00039038101186758274
Bundesregierung beschließen,0.00039038101186758274
Til Schweiger,0.00039038101186758274
Stiftung Warentest,0.00039038101186758274
Björn Höcke,0.00039038101186758274
