,Lemma Frequencies
Mann,0.005082592121982211
Trump,0.004626462059753038
Deutschland,0.0038445248102173136
Merkel,0.0038119440914866584
fordern,0.003583879060372072
Frau,0.0033558140292574853
Flüchtling,0.0026390382171830712
Studie,0.002280650311145864
Million,0.002280650311145864
deutsch,0.0022154888736845534
stellen,0.002085165998761933
neu,0.002085165998761933
Kind,0.002085165998761933
Regierung,0.0020525852800312777
Mensch,0.0020200045613006225
Polizei,0.001954843123839312
finden,0.001954843123839312
lässt,0.0018245202489166911
USA,0.001791939530186036
EU,0.001791939530186036
erhalten,0.0017267780927247255
Bayer,0.0017267780927247255
Österreich,0.0016941973739940702
planen,0.0016941973739940702
präsentieren,0.001661616655263415
Euro,0.00162903593653276
Bundesregierung,0.0015964552178021048
AfD,0.0015964552178021048
Strache,0.0015312937803407943
Wien,0.0014335516241488287
nehmen,0.0014335516241488287
Erdogan,0.0014335516241488287
warnen,0.0014009709054181735
entdecken,0.0014009709054181735
Prozent,0.0013683901866875182
Wiener,0.0013683901866875182
IS,0.0013683901866875182
drohen,0.0013358094679568632
bieten,0.0013358094679568632
deutschen,0.0012706480304955528
Berlin,0.0012380673117648976
SPD,0.0012380673117648976
Welt,0.0012054865930342423
FDP,0.0011729058743035871
erklären,0.0011729058743035871
9,0.0011729058743035871
Donald,0.0011729058743035871
halten,0.0011729058743035871
künftig,0.0011729058743035871
Russland,0.001140325155572932
