,Punct-Token Frequencies
:,0.3714519650655022
",",0.15406659388646288
“,0.10316593886462883
"""",0.0783296943231441
„,0.06372816593886463
!,0.04557860262008734
”,0.03943777292576419
–,0.035753275109170306
?,0.025245633187772926
(,0.018286026200873363
),0.018149563318777293
%,0.005594978165938865
-,0.0049126637554585155
*,0.004366812227074236
’,0.003957423580786026
--,0.003820960698689956
.,0.003411572052401747
/,0.003138646288209607
#,0.003138646288209607
],0.002319868995633188
&,0.002319868995633188
[,0.002319868995633188
',0.0017740174672489083
‘,0.0012281659388646289
..,0.001091703056768559
…,0.001091703056768559
...,0.000955240174672489
†,0.0005458515283842794
›,0.0002729257641921397
»,0.00013646288209606986
;,0.00013646288209606986
'',0.00013646288209606986
·,0.00013646288209606986
