,Token Frequencies
Trump,0.004626462059753038
Mann,0.004170331997523866
Merkel,0.0035512983416414166
Deutschland,0.0034209754667187957
fordert,0.002476134623529795
Studie,0.0022154888736845534
Millionen,0.0020525852800312777
Regierung,0.0019874238425699672
Polizei,0.001954843123839312
Frau,0.001954843123839312
Flüchtlinge,0.0018571009676473463
lässt,0.0018245202489166911
EU,0.001791939530186036
USA,0.001791939530186036
stellt,0.0017267780927247255
Bayern,0.001661616655263415
AfD,0.0015964552178021048
Euro,0.0015964552178021048
Bundesregierung,0.0015964552178021048
Menschen,0.0015638744990714496
Strache,0.0015312937803407943
Erdogan,0.0014335516241488287
Frauen,0.0014009709054181735
präsentiert,0.0014009709054181735
IS,0.0013683901866875182
Prozent,0.0013683901866875182
Wien,0.0013358094679568632
Wiener,0.0013358094679568632
Österreich,0.001303228749226208
SPD,0.0012380673117648976
Deutsche,0.0012380673117648976
plant,0.0012380673117648976
Welt,0.0012054865930342423
künftig,0.0011729058743035871
bietet,0.0011729058743035871
Donald,0.0011729058743035871
FDP,0.0011729058743035871
9,0.0011729058743035871
Neuer,0.001140325155572932
10,0.001140325155572932
FC,0.001140325155572932
droht,0.001140325155572932
Russland,0.001140325155572932
Berlin,0.0011077444368422767
erhält,0.0011077444368422767
nimmt,0.0011077444368422767
Faymann,0.0010751637181116215
deutsche,0.0010751637181116215
sofort,0.0010425829993809665
Schulz,0.0010100022806503112
