,Finegrained Tag Frequencies
NN,0.24587685625041472
ART,0.12028562462957372
APPR,0.10046455644260566
NE,0.08045074979881009
ADJA,0.06434490750287061
ADV,0.048550249658337555
VVFIN,0.04751638389904021
VAFIN,0.03169741398437306
KON,0.028000823998343968
ADJD,0.024310613419147573
CARD,0.02255055014346884
VVPP,0.02210419259137885
APPRART,0.019984471418675095
VVINF,0.018392934992789513
PPER,0.015188312806126762
VMFIN,0.010413251444521238
KOUS,0.008749984365430105
PIAT,0.00855830077114973
PROAV,0.008513544460221059
PPOSAT,0.007217721168383841
PRF,0.006965558788067415
PTKVZ,0.006805370375551662
PRELS,0.006116193511419917
PTKZU,0.005634272022026334
PTKNEG,0.0052086601000301035
PIS,0.005070071253955797
VAINF,0.004143901937566504
KOKOM,0.00385281010610561
PDS,0.003725221969451482
FM,0.0034552273889333967
PDAT,0.003191612215248018
PWAV,0.002092495672677558
TRUNC,0.0017774433919316177
VVIZU,0.001597011664820741
KOUI,0.0015614477275171495
VAPP,0.0011966662124060173
APPO,0.0008636812683586896
PWS,0.0007299146510713108
VMINF,0.0006946018715170385
PTKA,0.0004915659469674385
XY,0.0004578103454589448
$(,0.0002703964329169958
PWAT,0.0002690401810706724
APZR,0.00026723184527557457
PRELAT,0.0001791759383642809
$.,8.639826576578726e-05
VVIMP,5.4451000052391506e-05
PTKANT,5.17384963597447e-05
ITJ,7.785890228893619e-06
"$,",5.927322883931917e-06
