,Lemma Bigrams
Milliarde Euro,0.004279630434279886
Million Euro,0.0025211382974709502
Milliarde Dollar,0.0018478286005698546
Angela Merkel,0.0009844050666189556
Nachrichtenagentur Reuter,0.0006978954812058718
Bundeskanzlerin Angela,0.0006686846483685142
Million Dollar,0.000657487162447527
New York,0.0006095327118728647
Donald Trump,0.0005722889000052336
pressetext berichten,0.0005691243931145198
deutschen Bank,0.0005216567897538136
University of,0.0004369453745254761
Barack Obama,0.00041552409711141376
of the,0.00040457003479740463
Wall Street,0.0003816882157414744
Insider zufolge,0.0003748723547460909
Sigmar Gabriel,0.000373655236711201
deutsch Wirtschaft,0.0003712210006414212
20 Prozent,0.00036805649375070744
40 Prozent,0.00034663521633664514
Mensch töten,0.00034614836912268913
30 Prozent,0.0003322732235249442
Wolfgang Schäuble,0.0003298389874551644
ums Leben,0.00032837844581329654
Europäische Union,0.0003261876333504947
US-Präsident Donald,0.0003140164530015956
Wladimir Putin,0.00030647032118527823
vertrauen Person,0.00029795049494104887
kommend Woche,0.00029235175198055535
"0,5 Prozent",0.00028797012705495165
de Maiziere,0.0002865095854130838
Islamischer Staat,0.0002801805716316563
50 Prozent,0.0002792068772037443
3 M,0.0002792068772037443
15 Prozent,0.00027506867588511865
Deutsche Bank,0.0002745818286711627
Vereinte Nation,0.0002663054260339113
europäisch Zentralbank,0.00026484488439204346
Präsident Wladimir,0.00026314091914319757
Social Media,0.0002517000096152325
Bank of,0.00024269333615704717
Reuter befragen,0.0002383117112314435
Internationale Währungsfonds,0.00023806828762446553
Baschar al-Assad,0.0002361208987686417
US-Präsident Barack,0.00023344323909188389
"0,3 Prozent",0.00023246954466397198
Million Mensch,0.0002305221558081481
Onlineprinters GmbH,0.00022979188498721418
Air Berlin,0.0002268708017034784
60 Prozent,0.00022589710727556646
