,Lemma Trigrams
Bundeskanzlerin Angela Merkel,0.0018838336944186527
US-Präsident Donald Trump,0.0008817359606588947
Präsident Wladimir Putin,0.0007379896144984353
US-Präsident Barack Obama,0.0006588947350321538
Bundesfinanzminister Wolfgang Schäuble,0.0005577908456274287
Recep Tayyip Erdogan,0.0005474741222187833
New York Times,0.0005110216995082362
Präsident Baschar al-Assad,0.0005096461363870835
Kanzlerin Angela Merkel,0.0005062072285842016
ums Leben kommen,0.0004855737817669108
Präsident Francois Hollande,0.00044705801437463464
Thoma de Maiziere,0.00043880463564771827
Mensch ums Leben,0.00043055125692080195
Präsident Recep Tayyip,0.0004278001306784965
Extremistenmiliz Islamischer Staat,0.0004016644313765948
Reuter befragen Ökonom,0.00033151071219780597
Regierungssprecher Steffen Seibert,0.0003191306441074315
Wall Street Journal,0.0003101894838199388
Milliarde Euro schwer,0.00030056054197186974
Bundesaußenminister Frank-Walter Steinmeier,0.00029161938168437704
Finanzminister Wolfgang Schäuble,0.0002854293476391898
CSU-Chef Horst Seehofer,0.00028130265827573165
Premierministerin Theresa May,0.00027717596891227344
SPD-Chef Sigmar Gabriel,0.00027373706110939166
Präsident Barack Obama,0.00026342033770074627
Bank of America,0.0002537913958526772
EU-Kommissionspräsident Jean-Claude Juncker,0.0002531036142921008
US-Außenminister John Kerry,0.00024347467244403178
Außenminister Sergej Lawrow,0.00023866020151999724
Bundesinnenminister Thoma de,0.0002379724199594209
türkisch Präsident Recep,0.00023522129371711544
100 Million Euro,0.00023522129371711544
EZB-Präsident Mario Draghi,0.00022077788094501186
Russlands Präsident Wladimir,0.00022077788094501186
Reuter befragen Analysten,0.0002200900993844355
"1,5 Milliarde Euro",0.00021871453626328278
Premierminister David Cameron,0.00021733897314213006
Frankreich Präsident Francois,0.00021252450221809552
Präsident Donald Trump,0.0002097733759757901
EZB-Chef Mario Draghi,0.000207710031294061
Milliarde Dollar schwer,0.00019532996320368651
Ministerpräsident Alexis Tsipras,0.00019326661852195744
russisch Präsident Wladimir,0.00018707658447677017
500 Million Euro,0.0001850132397950411
Angelegenheit vertrauen Person,0.00018019876887100656
300 Million Euro,0.00017813542418927748
Institut of Technology,0.00017744764262870113
Vorgang vertrauen Person,0.00017538429794697205
200 Million Euro,0.00017469651638639568
Präsident Petro Poroschenko,0.00017125760858351387
