,Punct-Token Frequencies
.,0.3898871253594912
",",0.3455667754328364
"""",0.06567374481247867
“,0.03781710593924364
”,0.036892788799392645
:,0.030262420134276328
-,0.02331530506549229
(,0.022550071321205355
),0.022019556604748428
/,0.005317575554847729
?,0.0031450929341760494
&,0.002282562648852167
!,0.0022399510250403656
;,0.0021714173300763848
%,0.001829814145851776
',0.001717603536480699
*,0.001648004550921423
...,0.0009853938006479097
],0.0009594717294957305
’,0.0007009612117041347
„,0.0005525307220930262
[,0.0005386819443541906
‘,0.0004420955970474406
–,0.0003661048679163946
_,0.0002460821275131537
#,0.00021944986263077774
{,0.00014132855230914164
},0.00014026326171384662
§,0.00013422661500717473
..,9.765163790204511e-05
'',3.3734202184342855e-05
…,2.0595618175704058e-05
--,1.9885424445507367e-05
;-),7.457034167065263e-06
@,7.457034167065263e-06
/-,6.391743571770226e-06
---,5.681549841573534e-06
•,4.971356111376842e-06
·,4.616259246278496e-06
:-),3.906065516081804e-06
.-,3.195871785885113e-06
«,3.195871785885113e-06
»,3.195871785885113e-06
):,3.195871785885113e-06
—,1.7754843254917293e-06
‚,1.7754843254917293e-06
""")",1.4203874603933835e-06
;),1.4203874603933835e-06
¡,1.0652905952950375e-06
:),1.0652905952950375e-06
