,Token Trigrams
Bundeskanzlerin Angela Merkel,0.0018831459128580764
US-Präsident Donald Trump,0.0008817359606588947
US-Präsident Barack Obama,0.0006588947350321538
Bundesfinanzminister Wolfgang Schäuble,0.0005577908456274287
Recep Tayyip Erdogan,0.0005474741222187833
Präsident Wladimir Putin,0.0005350940541284089
New York Times,0.0005110216995082362
Kanzlerin Angela Merkel,0.0005041438839024726
Thomas de Maiziere,0.00043811685408714194
ums Leben gekommen,0.0004264245675573438
Menschen ums Leben,0.00042298565975446196
Extremistenmiliz Islamischer Staat,0.0004009766498160184
Präsident Francois Hollande,0.0003789676398775749
Präsident Baschar al-Assad,0.0003603975377420131
Präsident Recep Tayyip,0.0003225695519103133
Regierungssprecher Steffen Seibert,0.0003184428625468551
Reuters befragte Ökonomen,0.0003170672994257024
Wall Street Journal,0.0003101894838199388
Bundesaußenminister Frank-Walter Steinmeier,0.00029161938168437704
Finanzminister Wolfgang Schäuble,0.00028267822139688435
CSU-Chef Horst Seehofer,0.00028130265827573165
Premierministerin Theresa May,0.00027717596891227344
SPD-Chef Sigmar Gabriel,0.00027373706110939166
Bank of America,0.0002537913958526772
EU-Kommissionspräsident Jean-Claude Juncker,0.0002531036142921008
US-Außenminister John Kerry,0.00024347467244403178
Bundesinnenminister Thomas de,0.00023728463839884452
Präsident Barack Obama,0.0002345335121565391
Außenminister Sergej Lawrow,0.00023040682279308093
EZB-Präsident Mario Draghi,0.00022077788094501186
Premierminister David Cameron,0.00021733897314213006
Russlands Präsident Wladimir,0.00021046115753636644
EZB-Chef Mario Draghi,0.000207710031294061
Frankreichs Präsident Francois,0.00020633446817290828
"1,5 Milliarden Euro",0.00020358334193060283
Reuters befragte Analysten,0.00020358334193060283
Präsidenten Wladimir Putin,0.00020289556037002648
100 Millionen Euro,0.0001973933078854156
Ministerpräsident Alexis Tsipras,0.00019326661852195744
russischen Präsidenten Wladimir,0.00018638880291619382
Präsident Donald Trump,0.00017882320574985386
Institute of Technology,0.00017744764262870113
Bundeswirtschaftsminister Sigmar Gabriel,0.0001636920114171739
300 Millionen Euro,0.00016300422985659755
Außenminister Frank-Walter Steinmeier,0.00016231644829602118
Innenminister Thomas de,0.00016162866673544483
Kim Jong Un,0.00015818975893256302
200 Millionen Euro,0.0001568141958114103
500 Millionen Euro,0.00015612641425083394
Monte dei Paschi,0.00015406306956910486
