,Finegrained Tag Frequencies
NN,0.34813509901591544
NE,0.14702635318229598
APPR,0.1308600043314511
VVFIN,0.09392910154083449
ADJA,0.06153037562132553
ART,0.027805803088007692
ADJD,0.02316798106838939
ADV,0.020986408751644103
APPRART,0.02008050160316513
PTKVZ,0.01943606619725006
CARD,0.01869919128638815
VVINF,0.013361470157886675
KON,0.013084151643046172
VVPP,0.011697559068843661
VMFIN,0.010596208395619953
VAFIN,0.007899615979885163
PIAT,0.007308003148225425
PRF,0.005012862296831174
FM,0.0034334673265966945
PTKNEG,0.003129737524628525
KOKOM,0.0022370360197133845
PPER,0.001362822415787611
PPOSAT,0.001354899029649311
PIS,0.0012545361385641767
TRUNC,0.0011119151880747756
VAINF,0.0009085482771917407
XY,0.0007157458811597725
PTKZU,0.0005810483168086713
PWAV,0.0005387902574044044
PWS,0.0004516330098831036
PTKA,0.00039088704948946984
$(,0.0002693951287022022
PROAV,0.0002667539999894355
KOUS,0.0002403427128617686
PDAT,0.00023241932672346855
VVIZU,0.0002165725544468684
PDS,0.00016374998019153466
$.,0.0001320564356383344
PRELS,9.508063365960076e-05
PTKANT,5.018144554256707e-05
KOUI,4.4899188117033694e-05
VMINF,4.225805940426701e-05
APZR,3.697580197873363e-05
PWAT,3.4334673265966944e-05
VAPP,3.169354455320026e-05
VVIMP,3.169354455320026e-05
"$,",1.584677227660013e-05
APPO,5.282257425533376e-06
ITJ,2.641128712766688e-06
