,Lemma Bigrams
deutschen Bank,0.002345120650286087
Milliarde Euro,0.0012078252973277968
deutschen Wirtschaft,0.0010843978946811605
Social Media,0.001040316679450219
De Maiziere,0.0009257055198497712
Europa Börse,0.0009168892768035829
Air Berlin,0.0008199106032955116
Mrd Dollar,0.000802278117203135
deutschen Industrie,0.0007758293880645702
3 M,0.0007670131450183818
Mrd Euro,0.0007493806589260052
Milliarde Dollar,0.0006347694993255574
China Industrie,0.0006259532562793691
Million Euro,0.0006171370132331809
Credit Suisse,0.0006083207701869925
Asien Börse,0.0005818720410484277
Bank of,0.0005642395549560511
Wirtschaft wachsen,0.0005554233119098627
New York,0.0005466070688636745
deutsch Wirtschaft,0.0005377908258174861
VIB Vermögen,0.00044962839535560317
Japan Notenbank,0.0004319959092632266
Merkel fordern,0.00041436342317085
Mio Euro,0.0004055471801246617
Wall Street,0.0003967309370784734
Monte Paschi,0.0003967309370784734
Web 2.0,0.0003702822079399085
Social Web,0.0003526497218475319
asiatisch Börse,0.0003438334788013436
of America,0.0003350172357551553
grün Licht,0.000326200992708967
China Wirtschaft,0.000326200992708967
DATARECOVERY ®,0.000326200992708967
Telekom Austria,0.000326200992708967
deutschen Firma,0.0003173847496627787
Deutscher Bank,0.0003085685066165904
Million Dollar,0.0003085685066165904
deutschen Börse,0.0003085685066165904
Goldman Sachs,0.00029975226357040213
syrisch Armee,0.00029975226357040213
erhöhen Druck,0.00027330353443183724
Abs. 1,0.00026448729138564894
Dutzend Tote,0.00026448729138564894
Le Pen,0.00025567104833946065
Europa Aktienanleger,0.00025567104833946065
Dax dürfen,0.00024685480529327235
Forscher entwickeln,0.00024685480529327235
deutschen Export,0.00024685480529327235
steigern Gewinn,0.00024685480529327235
rücken nähern,0.00024685480529327235
