,Lemma Frequencies
USA,0.004483082987427957
deutschen,0.003953026547615493
China,0.0037999820825992178
Merkel,0.0035200226953743243
Deutschland,0.0034938931525666677
setzen,0.0028742497088422372
Russland,0.0027212052438259624
EU,0.00268387732552931
Trump,0.002620419864425001
fordern,0.0025830919461283484
Europa,0.002471108191238391
Börse,0.0023105981425627854
Tote,0.0022023471795024935
Wirtschaft,0.0021911488040134977
Türkei,0.0021874160121838327
Euro,0.002146355302057515
Syrien,0.002146355302057515
Bank,0.0020791650491235403
neu,0.002067966673634545
SPD,0.0020231731716785616
sehen,0.0019373189595962613
Insider,0.001933586167766596
warnen,0.001888792665810613
starten,0.0018663959148326216
drohen,0.0018477319556842954
halten,0.0018477319556842954
Regierung,0.0018178696210469733
Griechenland,0.001795472870068982
bleiben,0.0017469465762833339
steigen,0.001702153074327351
trotzen,0.00168722190700869
erwarten,0.0016536267805417027
bringen,0.0016424284050527071
Ukraine,0.0016200316540747155
nehmen,0.0015939021112670588
deutsch,0.0015229790665034191
stark,0.001519246274673754
EZB,0.0015080478991847583
Österreich,0.0014968495236957625
Anschlag,0.0014483232299101144
lässt,0.0014408576462507838
wachsen,0.0014184608952727924
Kampf,0.0014072625197837968
Flüchtling,0.0014035297279541314
Japan,0.0013923313524651358
stellen,0.0013923313524651358
Million,0.0013885985606354706
Frankreich,0.00138113297697614
Milliarde,0.0013736673933168095
Dax,0.0013662018096574791
