,Punct-Token Frequencies
-,0.3422467994848875
:,0.30800696916900233
"""",0.24615559427316114
",",0.03162639194000454
?,0.01681690781001439
&,0.01011287023710325
/,0.007688811453677752
!,0.006476782061965003
.,0.006173774714036816
(,0.005795015529126582
),0.005719263692144535
;,0.005529884099689418
%,0.0019316718430421938
',0.0015150367396409364
§,0.0010984016362396787
„,0.000833270206802515
“,0.000833270206802515
...,0.0003787591849102341
#,0.00030300734792818723
*,0.00026513142943716383
'',0.00018937959245511705
–,0.00018937959245511705
..,3.7875918491023404e-05
],3.7875918491023404e-05
’,3.7875918491023404e-05
