,Token Bigrams
Deutsche Bank,0.002345120650286087
Deutsche Wirtschaft,0.0010843978946811605
Social Media,0.001040316679450219
De Maiziere,0.0009257055198497712
Europas Börsen,0.0009168892768035829
Air Berlin,0.0008110943602493234
Mrd Dollar,0.000802278117203135
Milliarden Euro,0.0007934618741569468
Deutsche Industrie,0.0007758293880645702
3 M,0.0007670131450183818
Mrd Euro,0.0007493806589260052
Chinas Industrie,0.0006259532562793691
Credit Suisse,0.0006083207701869925
Asiens Börsen,0.0005730557980022393
Bank of,0.0005642395549560511
Wirtschaft wächst,0.0005466070688636745
New York,0.0005025258536327329
VIB Vermögen,0.00044962839535560317
Japans Notenbank,0.0004319959092632266
Mio Euro,0.0004055471801246617
Merkel fordert,0.0004055471801246617
Wall Street,0.0003967309370784734
Milliarden Dollar,0.0003967309370784734
Monte Paschi,0.0003967309370784734
Millionen Euro,0.0003702822079399085
Web 2.0,0.0003702822079399085
deutsche Wirtschaft,0.0003702822079399085
Social Web,0.0003526497218475319
of America,0.0003350172357551553
Telekom Austria,0.000326200992708967
DATARECOVERY ®,0.000326200992708967
Asiatische Börsen,0.000326200992708967
Chinas Wirtschaft,0.000326200992708967
Deutsche Firmen,0.0003173847496627787
grünes Licht,0.0003173847496627787
Deutsche Börse,0.0003085685066165904
Deutscher Bank,0.0003085685066165904
Goldman Sachs,0.00029975226357040213
Syrische Armee,0.00027330353443183724
Abs. 1,0.00026448729138564894
Le Pen,0.00025567104833946065
Europas Aktienanleger,0.00025567104833946065
Dutzende Tote,0.00025567104833946065
Dax dürfte,0.00024685480529327235
Deutsche Exporte,0.00024685480529327235
Forscher entwickeln,0.00024685480529327235
Deutschen Bank,0.00024685480529327235
Kabel Deutschland,0.00023803856224708403
of the,0.00023803856224708403
Japans Wirtschaft,0.00023803856224708403
