,Token Frequencies
USA,0.004483082987427957
Deutsche,0.003953026547615493
Deutschland,0.0033520470630393883
Merkel,0.0033221847284020667
Russland,0.0027212052438259624
EU,0.00268387732552931
Trump,0.002620419864425001
China,0.002437513064771404
Türkei,0.0021836832203541673
Wirtschaft,0.002176217636694837
Euro,0.0021426225102278494
Tote,0.0020828978409532057
Bank,0.0020791650491235403
setzt,0.002038104338997223
SPD,0.0020231731716785616
Syrien,0.0019410517514259265
Insider,0.0019261205841072655
fordert,0.0017880072864096515
Regierung,0.0017768089109206557
Griechenland,0.0016424284050527071
Ukraine,0.0016200316540747155
warnt,0.0015715053602890674
EZB,0.0015080478991847583
Börsen,0.0014968495236957625
droht,0.0014931167318660973
sieht,0.0014819183563771015
trotz,0.00145952160539911
erwartet,0.001444590438080449
lässt,0.0014408576462507838
Europa,0.0013774001851464747
Dax,0.0013662018096574791
Chinas,0.0013624690178278137
Union,0.0013326066831904919
Prozent,0.0013139427240421657
hält,0.0012952787648938394
Industrie,0.0012803475975751784
Druck,0.001243019679278526
Banken,0.0012243557201301997
startet,0.0011870278018335473
bringt,0.0011608982590258906
wächst,0.0011496998835368948
bleibt,0.0011385015080478992
Dollar,0.0011310359243885688
steigt,0.0011011735897512467
VW,0.0010974407979215815
Europas,0.0010937080060919163
stellt,0.0010787768387732553
Umfrage,0.0010675784632842595
Frankreich,0.0010638456714545943
Obama,0.001060112879624929
