,Token Trigrams
Bank of America,0.0007899587465987888
Abs. 1 WpHG,0.0005924690599490916
26 Abs. 1,0.0005485824629158255
DATARECOVERY ® Datenrettung,0.0005266391643991925
Deutsche Wirtschaft wächst,0.00041692267181602736
Krisenbank Monte Paschi,0.0003510927762661283
Chinas Industrie wächst,0.0003510927762661283
FH Campus Wien,0.0003291494777494953
SE Swiss Estates,0.0003072061792328623
Bank of Scotland,0.00028526288071622927
ADX Energy Ltd,0.00026331958219959624
Japans Notenbank hält,0.00024137628368296323
of capital market,0.00024137628368296323
capital market information,0.00024137628368296323
Release of capital,0.00024137628368296323
Fujitsu Siemens Computers,0.00024137628368296323
Photon Energy N.V.,0.00024137628368296323
according to Article,0.0002194329851663302
1 of the,0.0002194329851663302
Release according to,0.0002194329851663302
Japans Wirtschaft wächst,0.0002194329851663302
Section 1 of,0.0002194329851663302
of the WpHG,0.0002194329851663302
Chinas Industrie schrumpft,0.0001974896866496972
to Article 26,0.0001974896866496972
Hitachi Data Systems,0.0001974896866496972
New York Times,0.0001974896866496972
Bank of England,0.0001974896866496972
Deutsche Industrie erhält,0.00017554638813306416
lockerer Geldpolitik fest,0.00017554638813306416
Abzug schwerer Waffen,0.00017554638813306416
International Book Award,0.00017554638813306416
getAbstract International Book,0.00017554638813306416
hilft Europas Börsen,0.00017554638813306416
conwert Immobilien Invest,0.00015360308961643115
Customer Award 2013,0.00015360308961643115
Royal Bank of,0.00015360308961643115
2 Mrd Dollar,0.00015360308961643115
Chinas Wirtschaft wächst,0.00015360308961643115
Monte dei Paschi,0.00015360308961643115
Region Neusiedler See,0.00015360308961643115
Immobilien Invest SE,0.00015360308961643115
Valued Customer Award,0.00015360308961643115
halbe Milliarde Euro,0.00013165979109979812
De Maiziere fordert,0.00013165979109979812
Japans Notenbank lässt,0.00013165979109979812
Goldman Sachs verdient,0.00013165979109979812
AGFA Valued Customer,0.00013165979109979812
KFM Deutsche Mittelstand,0.00013165979109979812
Deutsche Wirtschaft gewinnt,0.00013165979109979812
